Age,Gender,Monthly Income (AED),Highest Education,Nationality,Purchase Frequency,Monthly Skincare Spend (AED),Brand Preference,Purchase Influencing Factors,Platforms Used,Most Trusted Platform,Influencer Count,Main Influencer Tier Followed,Influencer Content Type Considered,Purchased After Influencer Recommendation,Likelihood to Try Influencer Brand,Willingness to Pay Extra,Main Challenge,Influencer Marketing Effectiveness,Most Influential Ad Format,Purchase Time After Influencer,Online Community Member,Would Recommend Based on Influencer,Biggest Influencer Marketing Turn-off,Preferred Discovery Channel
40,Male,"10,000–19,999",Bachelor’s Degree,Other,Monthly,250–499,Korean,"Online reviews, Social media influencers",YouTube,YouTube,4–7,Micro (10k–100k),"Instagram Posts, YouTube Videos",No,Very unlikely,26–50% more,Too many options,Somewhat effective,Reel,Never,No,No,Over-promotion,Online search
30,Male,"Less than 5,000",Master’s Degree,Expat – Arab,Monthly,Less than 100,Premium,"Product ingredients, Friends/Family recommendations","Instagram, YouTube, TikTok, Snapchat",Instagram,1–3,Macro (100k–1M),"Instagram Posts, YouTube Videos",No,Very likely,No increase,Hard to find in Dubai,Not very effective,Story,Within a week,No,Yes,Over-promotion,In-store
42,Female,"10,000–19,999",High School,Expat – Arab,Every 2–3 months,250–499,Drugstore,"Online reviews, Price","Instagram, YouTube",Instagram,1–3,Macro (100k–1M),"Instagram Stories, Instagram Reels",Yes,Neutral,No increase,Too many options,Somewhat effective,Story,Within a month,No,Yes,Over-promotion,Online search
38,Female,"5,000–9,999",Bachelor’s Degree,Expat – Western,Monthly,100–249,No preference,"Price, Social media influencers","Instagram, Snapchat",YouTube,1–3,Macro (100k–1M),None,Yes,Very likely,1–10% more,Not enough trusted reviews,Highly effective,Long video (YouTube/TikTok),Within a week,No,Yes,Lack of authenticity,Friends/Family
36,Female,"20,000–29,999",Master’s Degree,Emirati,Monthly,500–999,Korean,"Price, Friends/Family recommendations",Instagram,Instagram,4–7,Micro (10k–100k),"Instagram Posts, TikTok Videos",No,Unlikely,No increase,Not sure what works for me,Somewhat effective,Standard post,Within a week,No,Yes,Lack of authenticity,Social media/influencers
32,Male,"Less than 5,000",Bachelor’s Degree,Expat – Asian,Every 2–3 months,250–499,Drugstore,"Social media influencers, Friends/Family recommendations","Instagram, YouTube, TikTok",Instagram,None,Not sure,"Instagram Posts, Instagram Reels, YouTube Videos, TikTok Videos",No,Likely,1–10% more,Not sure what works for me,Somewhat effective,Long video (YouTube/TikTok),After a long time,Yes,No,Over-promotion,Online search
32,Male,"5,000–9,999",Bachelor’s Degree,Expat – Asian,Every 2–3 months,Less than 100,Drugstore,"Price, Brand reputation",Instagram,Instagram,4–7,Mega (1M–10M),Instagram Posts,No,Very likely,No increase,Not enough trusted reviews,Somewhat effective,Story,Within a week,Yes,No,Lack of authenticity,Social media/influencers
24,Female,"10,000–19,999",High School,Expat – Western,Monthly,250–499,Premium,"Product ingredients, Online reviews","Instagram, YouTube, TikTok, Snapchat",YouTube,1–3,Micro (10k–100k),"Instagram Posts, Instagram Reels",No,Neutral,No increase,Products are expensive,Somewhat effective,Story,Immediately,No,No,Repetitive ads,Social media/influencers
66,Male,"10,000–19,999",Master’s Degree,Other,Monthly,Less than 100,No preference,"Social media influencers, Product ingredients","Instagram, YouTube",Instagram,4–7,Macro (100k–1M),"Instagram Stories, Instagram Reels",Yes,Likely,1–10% more,Too many options,Highly effective,Long video (YouTube/TikTok),Within a month,No,No,Lack of authenticity,Social media/influencers
49,Male,"10,000–19,999",Bachelor’s Degree,Other,Every 2–3 months,100–249,Premium,"Brand reputation, Product ingredients","Instagram, YouTube, TikTok",YouTube,4–7,Celebrity (10M+),"Instagram Posts, Instagram Stories",No,Neutral,26–50% more,Not enough trusted reviews,Neutral,Long video (YouTube/TikTok),Within a week,Yes,Yes,Lack of authenticity,Social media/influencers
44,Male,"10,000–19,999",Bachelor’s Degree,Emirati,Weekly,100–249,Premium,"Online reviews, Price","Instagram, YouTube, TikTok",YouTube,1–3,Micro (10k–100k),"Instagram Posts, Instagram Stories, Instagram Reels, TikTok Videos",No,Neutral,1–10% more,Products are expensive,Not very effective,Reel,Within a month,No,No,Lack of authenticity,In-store
37,Female,"20,000–29,999",Bachelor’s Degree,Expat – Western,Weekly,100–249,Korean,"Price, Social media influencers","Instagram, TikTok, Facebook",YouTube,8 or more,Macro (100k–1M),"Instagram Posts, Instagram Stories, Instagram Reels, YouTube Videos, TikTok Videos",Yes,Neutral,No increase,Not sure what works for me,Somewhat effective,Standard post,Within a week,No,No,Over-promotion,Social media/influencers
28,Female,"20,000–29,999",Master’s Degree,Expat – Asian,Every 2–3 months,500–999,Premium,"Friends/Family recommendations, Brand reputation","Instagram, TikTok",YouTube,1–3,Macro (100k–1M),"Instagram Posts, Instagram Stories, Instagram Reels, YouTube Videos",No,Very unlikely,1–10% more,Too many options,Neutral,Reel,After a long time,No,No,Lack of authenticity,Social media/influencers
30,Female,"5,000–9,999",Master’s Degree,Expat – Asian,Weekly,Less than 100,Drugstore,"Brand reputation, Price",TikTok,TikTok,8 or more,Macro (100k–1M),"Instagram Posts, Instagram Stories, Instagram Reels",No,Likely,No increase,Not sure what works for me,Not very effective,Story,Within a week,No,No,Lack of authenticity,Social media/influencers
24,Female,"10,000–19,999",Bachelor’s Degree,Expat – Arab,Every 2–3 months,Less than 100,Drugstore,"Product ingredients, Online reviews","Instagram, YouTube, TikTok",Instagram,4–7,Mega (1M–10M),"Instagram Posts, Instagram Reels, YouTube Videos",Yes,Likely,No increase,Not sure what works for me,Neutral,Story,Within a month,No,No,Over-promotion,Social media/influencers
31,Male,"20,000–29,999",Bachelor’s Degree,Expat – Asian,Rarely,250–499,Premium,"Brand reputation, Product ingredients","Instagram, TikTok",Instagram,8 or more,Micro (10k–100k),"Instagram Posts, TikTok Videos",No,Unlikely,No increase,Too many options,Neutral,Standard post,Within a week,No,No,Lack of authenticity,Social media/influencers
27,Female,"30,000 or more",High School,Other,Monthly,500–999,Drugstore,"Online reviews, Social media influencers","Instagram, Facebook",TikTok,None,Micro (10k–100k),"Instagram Posts, Instagram Stories, Instagram Reels",No,Neutral,11–25% more,Not sure what works for me,Neutral,Reel,Within a month,No,No,Repetitive ads,Social media/influencers
75,Male,"20,000–29,999",Other,Expat – Western,Monthly,"1,000 or more",Drugstore,"Product ingredients, Price",Instagram,TikTok,1–3,Micro (10k–100k),Instagram Reels,No,Very likely,11–25% more,Not enough trusted reviews,Somewhat effective,Reel,Within a week,No,No,Repetitive ads,Social media/influencers
55,Female,"5,000–9,999",Bachelor’s Degree,Expat – Arab,Every 2–3 months,100–249,Organic/Natural,"Friends/Family recommendations, Product ingredients","YouTube, TikTok",YouTube,4–7,Micro (10k–100k),"Instagram Posts, Instagram Reels, YouTube Videos",No,Unlikely,1–10% more,Too many options,Somewhat effective,Story,Within a month,No,No,Lack of authenticity,In-store
40,Non-binary,"5,000–9,999",Doctorate,Emirati,Every 2–3 months,100–249,Drugstore,"Friends/Family recommendations, Product ingredients","Instagram, YouTube, Facebook",YouTube,8 or more,Macro (100k–1M),"Instagram Stories, YouTube Videos",No,Very likely,No increase,Not enough trusted reviews,Not very effective,Long video (YouTube/TikTok),Within a week,Yes,No,Lack of authenticity,Social media/influencers
29,Female,"10,000–19,999",Bachelor’s Degree,Expat – Arab,Rarely,100–249,Organic/Natural,"Price, Online reviews","Instagram, YouTube",Instagram,None,Macro (100k–1M),"Instagram Posts, Instagram Stories, Instagram Reels, YouTube Videos",No,Very likely,No increase,Hard to find in Dubai,Somewhat effective,Story,After a long time,No,No,Unrelatable content,Friends/Family
27,Male,"10,000–19,999",Master’s Degree,Expat – Western,Every 2–3 months,Less than 100,Organic/Natural,"Friends/Family recommendations, Brand reputation","Instagram, TikTok",Instagram,None,Micro (10k–100k),"Instagram Stories, TikTok Videos",Yes,Very likely,No increase,Hard to find in Dubai,Not very effective,Standard post,Immediately,No,Yes,Repetitive ads,Friends/Family
36,Female,"30,000 or more",Master’s Degree,Expat – Asian,Weekly,100–249,Korean,"Social media influencers, Brand reputation",TikTok,TikTok,1–3,Macro (100k–1M),"Instagram Posts, Instagram Reels",Yes,Very likely,26–50% more,Products are expensive,Neutral,Reel,After a long time,No,Yes,None,Advertisements
56,Male,"10,000–19,999",Master’s Degree,Expat – Asian,Every 2–3 months,100–249,Premium,"Price, Friends/Family recommendations","Instagram, TikTok",TikTok,4–7,Macro (100k–1M),"Instagram Reels, TikTok Videos",No,Very likely,1–10% more,Not sure what works for me,Somewhat effective,Long video (YouTube/TikTok),Within a week,No,No,Lack of authenticity,In-store
24,Female,"20,000–29,999",Other,Emirati,Monthly,250–499,Drugstore,"Online reviews, Brand reputation","Instagram, Snapchat",YouTube,4–7,Micro (10k–100k),"Instagram Posts, Instagram Reels, YouTube Videos",No,Very likely,No increase,Too many options,Neutral,Long video (YouTube/TikTok),Immediately,No,Yes,Over-promotion,Online search
49,Female,"5,000–9,999",Bachelor’s Degree,Expat – Arab,Monthly,Less than 100,Organic/Natural,"Friends/Family recommendations, Online reviews","Instagram, YouTube",Instagram,1–3,Macro (100k–1M),"Instagram Posts, TikTok Videos",No,Likely,1–10% more,Products are expensive,Somewhat effective,Reel,Within a week,No,No,Repetitive ads,Social media/influencers
31,Female,"20,000–29,999",High School,Expat – Asian,Weekly,500–999,Korean,"Product ingredients, Social media influencers","Instagram, TikTok",Instagram,None,Macro (100k–1M),"Instagram Posts, TikTok Videos",No,Likely,1–10% more,Too many options,Not very effective,Story,Within a week,No,No,Repetitive ads,Online search
33,Female,"5,000–9,999",Bachelor’s Degree,Expat – Western,Monthly,100–249,Korean,"Price, Product ingredients","Instagram, TikTok",Instagram,1–3,Macro (100k–1M),"Instagram Posts, TikTok Videos",Yes,Very likely,More than 50% more,Not sure what works for me,Somewhat effective,Long video (YouTube/TikTok),Within a month,Yes,Yes,Lack of authenticity,In-store
40,Female,"5,000–9,999",Master’s Degree,Expat – Asian,Every 2–3 months,Less than 100,Drugstore,"Friends/Family recommendations, Online reviews","Instagram, YouTube",Instagram,1–3,Micro (10k–100k),Instagram Stories,No,Neutral,11–25% more,Not enough trusted reviews,Not very effective,Long video (YouTube/TikTok),Never,No,No,Unrelatable content,Social media/influencers
29,Male,"10,000–19,999",Bachelor’s Degree,Expat – Arab,Monthly,Less than 100,No preference,"Brand reputation, Price","Instagram, TikTok, Facebook",Instagram,4–7,Macro (100k–1M),"Instagram Stories, Instagram Reels, YouTube Videos, TikTok Videos",No,Very likely,No increase,Too many options,Somewhat effective,Standard post,Immediately,No,No,Lack of authenticity,Online search
36,Female,"10,000–19,999",High School,Expat – Asian,Monthly,250–499,Drugstore,"Brand reputation, Friends/Family recommendations","Instagram, YouTube, TikTok, Snapchat",YouTube,1–3,Not sure,"Instagram Posts, Instagram Stories",No,Very likely,11–25% more,Products are expensive,Neutral,Reel,Within a month,No,No,Lack of authenticity,Online search
28,Male,"Less than 5,000",Bachelor’s Degree,Emirati,Monthly,100–249,Premium,"Friends/Family recommendations, Online reviews",Instagram,Instagram,1–3,Macro (100k–1M),"Instagram Posts, Instagram Stories, Instagram Reels",No,Likely,1–10% more,Products are expensive,Not effective at all,Reel,Within a month,Yes,No,Over-promotion,Advertisements
32,Female,"5,000–9,999",Bachelor’s Degree,Other,Every 2–3 months,250–499,Premium,"Friends/Family recommendations, Product ingredients","Instagram, TikTok",YouTube,4–7,Micro (10k–100k),"Instagram Posts, Instagram Stories, YouTube Videos",No,Likely,No increase,Products are expensive,Highly effective,Story,Within a week,No,No,Lack of authenticity,Online search
52,Female,"30,000 or more",Bachelor’s Degree,Expat – Arab,Every 2–3 months,100–249,Drugstore,"Social media influencers, Price","Instagram, YouTube, TikTok",YouTube,1–3,Macro (100k–1M),Instagram Posts,Yes,Likely,1–10% more,Products are expensive,Neutral,Long video (YouTube/TikTok),Within a week,No,No,Repetitive ads,In-store
41,Female,"5,000–9,999",Bachelor’s Degree,Expat – Asian,Monthly,"1,000 or more",Korean,"Friends/Family recommendations, Product ingredients","Instagram, TikTok",YouTube,1–3,Micro (10k–100k),"Instagram Posts, Instagram Reels, YouTube Videos",No,Likely,1–10% more,Not sure what works for me,Highly effective,Standard post,Never,Yes,No,Repetitive ads,In-store
52,Female,"10,000–19,999",Master’s Degree,Expat – Arab,Monthly,Less than 100,Organic/Natural,"Friends/Family recommendations, Social media influencers","Instagram, YouTube, TikTok",YouTube,4–7,Macro (100k–1M),"Instagram Posts, Instagram Stories, TikTok Videos",Yes,Neutral,No increase,Products are expensive,Not very effective,Reel,Immediately,Yes,Yes,Repetitive ads,Friends/Family
31,Female,"10,000–19,999",Bachelor’s Degree,Expat – Asian,Monthly,Less than 100,Organic/Natural,"Friends/Family recommendations, Product ingredients",Instagram,Instagram,1–3,Micro (10k–100k),Instagram Reels,No,Neutral,1–10% more,Not sure what works for me,Somewhat effective,Story,After a long time,Yes,No,Over-promotion,Social media/influencers
49,Male,"10,000–19,999",Bachelor’s Degree,Expat – Asian,Rarely,"1,000 or more",Organic/Natural,"Social media influencers, Product ingredients","Instagram, YouTube",YouTube,4–7,Micro (10k–100k),"Instagram Posts, Instagram Reels",Yes,Very unlikely,1–10% more,Products are expensive,Not very effective,Reel,Within a week,No,Yes,Lack of authenticity,In-store
23,Female,"10,000–19,999",Bachelor’s Degree,Expat – Asian,Every 2–3 months,100–249,Korean,"Product ingredients, Brand reputation","Instagram, Snapchat",Instagram,None,Macro (100k–1M),Instagram Posts,Yes,Likely,No increase,Too many options,Not very effective,Reel,Within a month,No,Yes,Lack of authenticity,Online search
40,Male,"5,000–9,999",High School,Expat – Arab,Monthly,100–249,Korean,"Friends/Family recommendations, Price","Instagram, TikTok, Snapchat",TikTok,4–7,Micro (10k–100k),"Instagram Posts, Instagram Reels",Yes,Likely,No increase,Products are expensive,Highly effective,Story,Within a month,Yes,Yes,Over-promotion,Social media/influencers
50,Female,"10,000–19,999",Master’s Degree,Expat – Arab,Every 2–3 months,Less than 100,Drugstore,"Product ingredients, Price","Instagram, TikTok, Snapchat",Instagram,None,Macro (100k–1M),"Instagram Posts, Instagram Reels",No,Very likely,1–10% more,Hard to find in Dubai,Highly effective,Story,Within a week,No,No,Unrelatable content,Online search
23,Male,"5,000–9,999",Master’s Degree,Expat – Arab,Monthly,100–249,Korean,"Social media influencers, Friends/Family recommendations","Instagram, YouTube",TikTok,None,Micro (10k–100k),Instagram Posts,No,Neutral,No increase,Too many options,Neutral,Long video (YouTube/TikTok),Within a week,Yes,Yes,Over-promotion,Advertisements
31,Male,"10,000–19,999",Bachelor’s Degree,Expat – Asian,Every 2–3 months,500–999,Drugstore,"Price, Social media influencers","Instagram, TikTok",Instagram,1–3,Micro (10k–100k),"Instagram Posts, Instagram Stories, Instagram Reels",Yes,Very likely,11–25% more,Too many options,Somewhat effective,Reel,Within a week,No,Yes,Over-promotion,Social media/influencers
40,Female,"Less than 5,000",Master’s Degree,Emirati,Monthly,Less than 100,Premium,"Product ingredients, Online reviews","Instagram, YouTube, Snapchat",Instagram,8 or more,Mega (1M–10M),Instagram Stories,No,Likely,No increase,Too many options,Highly effective,Reel,Within a week,No,No,Over-promotion,Online search
58,Male,"10,000–19,999",Master’s Degree,Expat – Asian,Monthly,250–499,Premium,"Brand reputation, Price","Instagram, TikTok",Instagram,8 or more,Celebrity (10M+),Instagram Posts,No,Likely,More than 50% more,Not sure what works for me,Highly effective,Story,After a long time,No,No,Lack of authenticity,Friends/Family
32,Female,"5,000–9,999",Master’s Degree,Expat – Western,Monthly,Less than 100,Korean,"Product ingredients, Price","Instagram, YouTube",Instagram,1–3,Micro (10k–100k),"Instagram Stories, Instagram Reels, TikTok Videos",No,Neutral,No increase,Not sure what works for me,Somewhat effective,Story,Within a week,Yes,No,Unrelatable content,Online search
48,Male,"5,000–9,999",High School,Expat – Western,Monthly,100–249,Korean,"Brand reputation, Product ingredients","Instagram, TikTok",Instagram,None,Macro (100k–1M),"Instagram Posts, Instagram Stories, Instagram Reels",Yes,Very unlikely,1–10% more,Products are expensive,Highly effective,Reel,After a long time,No,Yes,Over-promotion,Online search
68,Male,"5,000–9,999",Doctorate,Expat – Asian,Rarely,Less than 100,No preference,"Social media influencers, Friends/Family recommendations","Instagram, TikTok",Instagram,1–3,Micro (10k–100k),Instagram Reels,Yes,Very unlikely,1–10% more,Not enough trusted reviews,Not very effective,Long video (YouTube/TikTok),Within a week,No,Yes,Repetitive ads,Online search
49,Female,"5,000–9,999",Bachelor’s Degree,Expat – Asian,Monthly,Less than 100,Premium,"Online reviews, Product ingredients","Instagram, TikTok",YouTube,1–3,Macro (100k–1M),"Instagram Stories, Instagram Reels, TikTok Videos",Yes,Very likely,1–10% more,Not enough trusted reviews,Neutral,Story,After a long time,No,No,Unrelatable content,Friends/Family
36,Male,"20,000–29,999",Bachelor’s Degree,Emirati,Every 2–3 months,100–249,No preference,"Social media influencers, Product ingredients","Instagram, TikTok",Instagram,4–7,Macro (100k–1M),Instagram Posts,No,Likely,No increase,Products are expensive,Neutral,Reel,Within a month,No,Yes,Lack of authenticity,Online search
45,Male,"5,000–9,999",High School,Expat – Asian,Every 2–3 months,Less than 100,Organic/Natural,"Social media influencers, Product ingredients","Instagram, Snapchat",Instagram,1–3,Micro (10k–100k),"Instagram Stories, Instagram Reels",Yes,Unlikely,11–25% more,Not sure what works for me,Highly effective,Standard post,Within a week,No,Yes,Over-promotion,Social media/influencers
31,Female,"30,000 or more",Bachelor’s Degree,Expat – Western,Monthly,"1,000 or more",Korean,"Price, Product ingredients","Instagram, YouTube",Instagram,4–7,Macro (100k–1M),Instagram Posts,Yes,Likely,No increase,Not sure what works for me,Highly effective,Standard post,Never,Yes,Yes,Unrelatable content,In-store
40,Male,"30,000 or more",High School,Expat – Arab,Weekly,250–499,Korean,"Price, Product ingredients","Instagram, YouTube",Instagram,4–7,Micro (10k–100k),"Instagram Reels, YouTube Videos",No,Likely,No increase,Products are expensive,Somewhat effective,Reel,Within a week,Yes,Yes,Lack of authenticity,Friends/Family
37,Female,"10,000–19,999",Bachelor’s Degree,Expat – Arab,Monthly,Less than 100,Drugstore,"Social media influencers, Brand reputation","Instagram, TikTok",YouTube,1–3,Micro (10k–100k),"Instagram Posts, Instagram Reels, TikTok Videos",Yes,Neutral,No increase,Products are expensive,Not effective at all,Story,Within a month,Yes,Yes,Repetitive ads,Online search
45,Male,"Less than 5,000",Bachelor’s Degree,Expat – Western,Every 2–3 months,Less than 100,Organic/Natural,"Price, Brand reputation","Instagram, YouTube, TikTok",Instagram,4–7,Mega (1M–10M),"Instagram Stories, Instagram Reels",Yes,Neutral,No increase,Too many options,Somewhat effective,Standard post,Within a month,No,Yes,Lack of authenticity,Online search
34,Male,"5,000–9,999",Master’s Degree,Expat – Western,Monthly,Less than 100,Korean,"Product ingredients, Online reviews","Instagram, TikTok",TikTok,1–3,Macro (100k–1M),"Instagram Posts, Instagram Reels",No,Very unlikely,No increase,Too many options,Somewhat effective,Reel,Within a week,No,No,Over-promotion,Social media/influencers
46,Female,"20,000–29,999",Master’s Degree,Expat – Arab,Monthly,500–999,No preference,"Product ingredients, Social media influencers","Instagram, YouTube, TikTok",Instagram,None,Macro (100k–1M),Instagram Posts,Yes,Neutral,No increase,Not sure what works for me,Highly effective,Reel,Never,No,No,None,Social media/influencers
34,Male,"5,000–9,999",Bachelor’s Degree,Expat – Asian,Monthly,500–999,Korean,"Product ingredients, Price","YouTube, Snapchat",TikTok,4–7,Macro (100k–1M),Instagram Reels,No,Likely,No increase,Not sure what works for me,Neutral,Long video (YouTube/TikTok),After a long time,No,No,Unrelatable content,Friends/Family
55,Male,"Less than 5,000",Master’s Degree,Expat – Arab,Every 2–3 months,Less than 100,Organic/Natural,"Social media influencers, Friends/Family recommendations","Instagram, YouTube, TikTok",YouTube,1–3,Macro (100k–1M),None,Yes,Likely,11–25% more,Not sure what works for me,Neutral,Reel,After a long time,No,Yes,Over-promotion,Online search
35,Male,"10,000–19,999",Master’s Degree,Emirati,Monthly,500–999,Organic/Natural,"Brand reputation, Friends/Family recommendations","Instagram, TikTok",YouTube,None,Macro (100k–1M),"Instagram Posts, Instagram Stories, Instagram Reels, TikTok Videos",No,Unlikely,No increase,Products are expensive,Highly effective,Reel,Never,No,No,Lack of authenticity,Friends/Family
21,Male,"20,000–29,999",Master’s Degree,Expat – Western,Monthly,250–499,Premium,"Price, Product ingredients","Instagram, TikTok",Instagram,8 or more,Micro (10k–100k),"Instagram Stories, Instagram Reels",No,Neutral,11–25% more,Products are expensive,Somewhat effective,Story,Within a month,No,Yes,Lack of authenticity,Social media/influencers
27,Female,"20,000–29,999",High School,Expat – Western,Monthly,100–249,Premium,"Price, Brand reputation","Instagram, YouTube, TikTok, Snapchat",Instagram,1–3,Macro (100k–1M),"Instagram Posts, Instagram Stories",No,Neutral,1–10% more,Not sure what works for me,Neutral,Story,Within a week,No,Yes,Unrelatable content,In-store
39,Male,"5,000–9,999",Master’s Degree,Expat – Asian,Every 2–3 months,100–249,Korean,"Social media influencers, Product ingredients",Instagram,Instagram,1–3,Macro (100k–1M),"Instagram Posts, Instagram Stories, Instagram Reels",Yes,Very unlikely,No increase,Not enough trusted reviews,Somewhat effective,Reel,After a long time,Yes,No,Over-promotion,Friends/Family
74,Female,"10,000–19,999",Doctorate,Emirati,Every 2–3 months,100–249,Korean,"Friends/Family recommendations, Product ingredients","Instagram, Snapchat",YouTube,4–7,Macro (100k–1M),"Instagram Posts, TikTok Videos",Yes,Neutral,1–10% more,Not sure what works for me,Neutral,Story,Within a month,No,Yes,Over-promotion,Social media/influencers
54,Female,"5,000–9,999",Bachelor’s Degree,Expat – Western,Monthly,100–249,Premium,"Brand reputation, Price","Instagram, TikTok",Instagram,1–3,Macro (100k–1M),"Instagram Posts, Instagram Reels, YouTube Videos",No,Likely,1–10% more,Not enough trusted reviews,Neutral,Long video (YouTube/TikTok),Within a week,Yes,No,Repetitive ads,Social media/influencers
20,Female,"5,000–9,999",Bachelor’s Degree,Expat – Arab,Every 2–3 months,250–499,No preference,"Social media influencers, Brand reputation","Instagram, YouTube",TikTok,8 or more,Micro (10k–100k),"Instagram Posts, Instagram Stories, Instagram Reels",No,Neutral,No increase,Not enough trusted reviews,Neutral,Reel,Within a month,No,No,Over-promotion,Advertisements
24,Female,"20,000–29,999",Bachelor’s Degree,Expat – Arab,Every 2–3 months,250–499,Korean,"Price, Brand reputation",Instagram,Instagram,None,Macro (100k–1M),"Instagram Reels, TikTok Videos",Yes,Neutral,26–50% more,Hard to find in Dubai,Neutral,Story,Never,No,Yes,Over-promotion,Social media/influencers
61,Male,"5,000–9,999",Bachelor’s Degree,Expat – Asian,Every 2–3 months,250–499,No preference,"Product ingredients, Price","YouTube, Snapchat",YouTube,1–3,Micro (10k–100k),"Instagram Posts, Instagram Stories",No,Very likely,1–10% more,Not sure what works for me,Not very effective,Reel,Within a week,Yes,No,Unrelatable content,In-store
50,Non-binary,"5,000–9,999",Bachelor’s Degree,Emirati,Every 2–3 months,100–249,Organic/Natural,"Friends/Family recommendations, Social media influencers","Instagram, YouTube",Instagram,4–7,Macro (100k–1M),"Instagram Posts, Instagram Reels, YouTube Videos",Yes,Likely,26–50% more,Too many options,Not very effective,Long video (YouTube/TikTok),After a long time,No,Yes,Over-promotion,Friends/Family
93,Male,"Less than 5,000",High School,Expat – Asian,Monthly,Less than 100,Korean,"Friends/Family recommendations, Online reviews","YouTube, TikTok",YouTube,1–3,Macro (100k–1M),"Instagram Posts, Instagram Reels",No,Neutral,11–25% more,Not enough trusted reviews,Somewhat effective,Standard post,Within a month,Yes,No,Over-promotion,Online search
33,Female,"20,000–29,999",Bachelor’s Degree,Expat – Asian,Monthly,250–499,No preference,"Friends/Family recommendations, Brand reputation",Instagram,TikTok,4–7,Mega (1M–10M),"Instagram Posts, Instagram Reels, TikTok Videos",No,Likely,No increase,Not sure what works for me,Highly effective,Standard post,Within a week,No,No,Over-promotion,Social media/influencers
29,Female,"20,000–29,999",Master’s Degree,Expat – Arab,Every 2–3 months,100–249,Korean,"Brand reputation, Friends/Family recommendations",Instagram,Instagram,8 or more,Macro (100k–1M),"Instagram Posts, Instagram Stories, Instagram Reels, TikTok Videos",No,Neutral,No increase,Too many options,Neutral,Long video (YouTube/TikTok),After a long time,No,No,Repetitive ads,Online search
40,Female,"10,000–19,999",Master’s Degree,Expat – Arab,Monthly,"1,000 or more",Organic/Natural,"Price, Product ingredients","YouTube, TikTok",YouTube,4–7,Mega (1M–10M),"Instagram Posts, Instagram Reels",Yes,Likely,No increase,Too many options,Somewhat effective,Standard post,Never,No,Yes,Over-promotion,Online search
33,Female,"10,000–19,999",High School,Expat – Arab,Every 2–3 months,250–499,Premium,"Friends/Family recommendations, Brand reputation","Instagram, YouTube",Instagram,1–3,Macro (100k–1M),Instagram Reels,No,Very unlikely,11–25% more,Not enough trusted reviews,Not very effective,Standard post,Within a week,No,No,Over-promotion,Social media/influencers
58,Female,"5,000–9,999",Doctorate,Emirati,Monthly,Less than 100,Premium,"Brand reputation, Social media influencers","Instagram, YouTube, TikTok",YouTube,1–3,Not sure,Instagram Stories,No,Likely,11–25% more,Not sure what works for me,Highly effective,Story,Within a week,No,No,Unrelatable content,Social media/influencers
32,Male,"10,000–19,999",Bachelor’s Degree,Expat – Asian,Every 2–3 months,100–249,Premium,"Friends/Family recommendations, Social media influencers","Instagram, YouTube, TikTok",Instagram,8 or more,Macro (100k–1M),"Instagram Posts, Instagram Stories",Yes,Very likely,1–10% more,Hard to find in Dubai,Not very effective,Story,Within a month,No,Yes,Lack of authenticity,Social media/influencers
35,Male,"5,000–9,999",Bachelor’s Degree,Expat – Western,Every 2–3 months,100–249,Korean,"Friends/Family recommendations, Price","Instagram, YouTube, Snapchat",Instagram,1–3,Not sure,"Instagram Stories, Instagram Reels",No,Likely,No increase,Not sure what works for me,Somewhat effective,Reel,After a long time,No,No,Repetitive ads,Friends/Family
28,Female,"Less than 5,000",Master’s Degree,Emirati,Weekly,Less than 100,Korean,"Product ingredients, Brand reputation",TikTok,TikTok,1–3,Micro (10k–100k),"Instagram Posts, Instagram Stories, Instagram Reels",No,Likely,No increase,Not sure what works for me,Neutral,Reel,Immediately,No,No,Over-promotion,Online search
52,Female,"10,000–19,999",Master’s Degree,Emirati,Monthly,Less than 100,Korean,"Product ingredients, Brand reputation",TikTok,TikTok,1–3,Micro (10k–100k),"Instagram Posts, Instagram Stories, Instagram Reels",No,Likely,11–25% more,Not enough trusted reviews,Somewhat effective,Long video (YouTube/TikTok),Within a week,Yes,No,Unrelatable content,Social media/influencers
28,Non-binary,"30,000 or more",Doctorate,Expat – Asian,Every 2–3 months,250–499,Premium,"Price, Social media influencers",Instagram,YouTube,None,Macro (100k–1M),"Instagram Posts, Instagram Stories, Instagram Reels",Yes,Likely,26–50% more,Not sure what works for me,Not effective at all,Reel,Within a month,No,No,Repetitive ads,Friends/Family
46,Female,"Less than 5,000",Bachelor’s Degree,Expat – Western,Every 2–3 months,Less than 100,No preference,"Online reviews, Price","Instagram, YouTube",Instagram,None,Not sure,"Instagram Posts, YouTube Videos",No,Neutral,No increase,Not enough trusted reviews,Somewhat effective,Long video (YouTube/TikTok),Within a month,No,No,Repetitive ads,Social media/influencers
80,Female,"5,000–9,999",Master’s Degree,Expat – Arab,Monthly,100–249,Korean,"Friends/Family recommendations, Product ingredients","Instagram, Snapchat",Instagram,8 or more,Macro (100k–1M),"Instagram Posts, Instagram Reels",Yes,Likely,No increase,Not enough trusted reviews,Somewhat effective,Reel,Within a week,No,Yes,Over-promotion,Social media/influencers
